"如何透過交易系統全額線上預繳股票? 交割銀行若為中國信託，請您至臨櫃簽署「預收款轉撥同意書」，簽署完成後即可進行線上預繳。
請登入各交易平台的「E服務」>全額線上預繳，操作說明如下：
1.e 統金：首頁 >主選單【E服務】>全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
2.金贏島：點選左下方選單【交易/帳務】>統合e網 >點選下拉選單內的【E服務】>查詢 >全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
3.e指發APP(舊版)：首頁 >【統一專區】>E服務 >全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
4.e指發APP(新版)：首頁 >功能總覽> 交易類「 全額預繳」 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
※可執行全額預繳時間：交易日8:00-14:30。",,,
"財管電子交易平台 帳戶需具財管信託電子戶權限，始可登入下列看盤使用信託基金看盤/交易/帳務功能
一、【財富管理下單平台支援行動裝置與電腦<含市面上主流瀏覽器如Edge/Chrome/Firefox/Safari>】
https://nwmtrade.pscnet.com.tw/
三、e指發APP
【IOS系統】請至App Store下載  或下方載點：
https://tinyurl.com/3fk25rd3
【Android系統】請至Play商店下載  或下方載點：
https://tinyurl.com/yckjtj32",,,
"統一證券官網查詢常見問題方式 請【點選下方連結直接進入證券官網常見問題】
https://tinyurl.com/mr3zjm7s",,,
"證券智慧下單電子平台 統一金贏島電腦版、e指發APP、統eVIP全球版電腦版已提供智慧下單功能。統一期貨期航家/海期通/大戶系統/國外大戶/MultiCharts智慧單功能請洽您的期貨營業員詢問，更多資訊請參考【統一期貨官網】：
https://www.pfcf.com.tw/software 

一、下單軟體：
1.金贏島
點選下方連結下載或進入證券官網>點選主選單「證券」>交易專區>平台介紹>點選新贏島看盤系統圖示，依步驟進行安裝：
https://tinyurl.com/yc3sskcy
2.e指發
【IOS系統】請至App Store下載  或下方載點：
https://tinyurl.com/3fk25rd3
【Android系統】請至Play商店下載  或下方載點：
https://tinyurl.com/yckjtj32
二、功能說明
1.【金贏島】教學說明：
https://tinyurl.com/munfzf95
2.e 指發APP雲端智慧單
「證券智慧單」功能說明 (期貨商品僅提供條件觸發通知，無法設定下單)：
https://tinyurl.com/4m389uhe
「期權智慧單觸價單」教學頻道：
https://tinyurl.com/376zw39w",,,
"無法登入看盤 電腦或手機看盤登入或連線問題，請依下列步驟進行排除：
1.檢查登入帳號或身分證與登入密碼是否正確
2.匯入登入帳號有效憑證
看盤無有效憑證/無憑證，不提供登入看盤。
3.重啟或更換網路
網路異常時，建議重啟網路設備、更換其他網路或洽網路所屬業者檢測網路連線狀況。
4.關閉防火牆或防毒軟體
5.移除重裝看盤
移除軟體前，請記下登入帳號和密碼含帳號管理內新增帳號與密碼，並上傳自選股至雲端主機或匯出檔案備存個人電腦，再重新安裝看盤。
安裝看盤軟體，請點選下方連結進入證券官網>點選主選單「證券」>交易專區>平台介紹>點選看盤系統圖示，依步驟進行安裝：
https://tinyurl.com/2xx7dpj8

※公司電腦環境可能限制電腦軟體連線，請洽網管人員詢問。",,,
"登入金贏島或開啟XQ美股贏家出現「無法找到程序輸入點」？ 金贏島不支援XP作業系統，請更換WIN11繁體中文作業系統。若WIN11登入金贏島出現「無法找到程序輸入點」，請依下列步驟排除：

步驟一、以系統管理員身分重裝金贏島
點選下方連結下載或進入證券官網>點選主選單「證券」>交易專區>平台介紹>
在「金贏島」圖示上單擊滑鼠右鍵>將pscapsetup.exe檔案另存桌面>至桌面開啟該執行檔，依步驟進行安裝：
https://tinyurl.com/yc3sskcy
步驟二、刪除SetupStatus.ini檔案
若步驟1無法排除問題，請進入金贏島資料夾目錄C:\PSCAP中刪除SetupStatus.ini檔案，再重新啟動金贏島。

若有任何問題，請洽客服專線02-81724668，由專人為您服務，謝謝。

※微軟已不再提供XP與IE安全性更新，若繼續使用，可能面臨漏洞攻擊，建議改用WIN11繁體中文作業系統與IE以主流外流瀏覽器登入看盤系統含Edge/Chrome/Firefox/Safari。
一、微軟自2014年4月8日起不再支援WIN XP系統。
二、微軟自2022年6月15日起不再支援IE11。",,,
"盤中零股交易 請點選下方連結觀看「盤中零股交易」相關說明
一、【盤中零股制度說明】：
https://tinyurl.com/3xm3apua
二、【盤中零股常見問題】：
https://tinyurl.com/46u6thf8
三、【證交所盤中零股交易專區】：
https://tinyurl.com/ynpyznu2",,,
"複委託電子交易平台 帳戶需具複委託電子戶權限，始可登入下列看盤
交易美股、港股、滬深股通：
一、電子下單可交易美股、港股、滬深股通
1.統一金贏島
   點選下方連結下載或進入證券官網>主選單「證券」>平台介紹>金贏島>下載程式：
   https://tinyurl.com/yc3sskcy
2.統一e指發
   手機官方商店App Store或Play商店搜尋/下載「e指發」

二、人工下單可交易美股、港股、滬深股通、日股
        請致電統一證券各分公司營業員或總公司複委託交易室下單
       【統一證券官網服務據點】：
https://tinyurl.com/pj35wrc2

日班專線8:00-18:00：027706-1896、027706-0168
夜班專線夏令19:00-隔日04:00、冬令19:00-隔日05:00：022747-8212

複委託下單方式：請參考複委託官網>交易說明>交易流程
https://tinyurl.com/52yevash",,,
"總歸戶設定 電腦與行動裝置總歸戶設定操作說明如下：
一、行動裝置：
1.e 指發APP(舊版)：
   首頁 > 統一專區 > 總歸戶設定
2.e 指發APP(新版)：
   首頁 > 我的 >帳戶管理 >總歸戶設定
二、電腦
1. e 統金：
   首頁 > 主選單客戶服務 > 總歸戶設定
2.金贏島：
   報價畫面 > 功能 > 下單設定 >總歸戶設定",,,
"如何申請/取消每日交易回報或股票抽籤通知？ 申請每日交易回報或日對帳單方式如下：
1.官網申請：
    官網>登入「訂閱回報管理中心」 > 訂閱電子日對帳單含成交回報/申購股票通知    
    https://eservices.pscnet.com.tw/eservice/tradereturn/login.php  
https://tinyurl.com/37w2p7vk
2. 行動裝置e指發申請：
    舊版首頁 > 統一專區 > 訂閱專區
    新版首頁 > 我的 >訂閱中心
4.電腦交易平台：
   金贏島：報價畫面 >交易/帳務 >個人服務 >通知回報設定
   金好探：報價畫面 >下單帳務 >個人服務 >E-mail回報設定
    e 統金：首頁 >客戶服務 >交易回報設定
若無法登入系統變更，請帳戶本人致電客服中心 028172-4668，由專人為您申請。",,,
"如何查詢重大訊息 詳情請上【公開資訊觀測站】：
http://mops.twse.com.tw/mops/web/index",,,
"證券線上簽署風險預告書 線上簽署資格、生效時間請參閱頁面上說明，簽署方式如下：
一、證券風險預告書：
1.電腦簽署：
   證券官網首頁 > 簽署專區
   https://tinyurl.com/muh9pyj5   
   金贏島：報價畫面 >交易/帳務 >個人服務 >證券線上簽署專區
   金好探：報價畫面 >統一證資訊 >簽署專區
    e 統金：首頁 > 客戶服務 >線上簽署專區
2. e 指發APP：
   舊版首頁 > 統一專區 >證券 >線上簽署
   新版首頁 > 我的 >線上簽署 >證券簽署
二、複委託風險預告書：
1.電腦簽署：
   證券官網首頁 >複委託 >線上簽署
   https://tinyurl.com/bdcpa75n   
金贏島：報價畫面 >交易/帳務 >個人服務 >複委託線上簽署專區
2.e 指發APP：
   舊版首頁 > 統一專區 >複委託 >線上簽署
   新版首頁 > 我的 >線上簽署 >複委託簽署
三、信託風險預告書：
1.電腦簽署：
   證券官網首頁 >財富管理 >線上簽署
   https://tinyurl.com/bdcpa75n
2.e 指發APP：
   舊版首頁 > 統一專區 >財管 >線上簽署
   新版首頁 > 我的 >線上簽署 >信託簽署
三、期貨風險預告書
1.電腦簽署：
   期貨官網 > 簽署專區
   https://messagebus.pfctrade.com/user/login
2.e 指發APP：
   舊版首頁 > 統一專區 >期貨 >線上簽署
   新版首頁 > 我的 >線上簽署 >期貨簽署",,,
"證券線上簽署風險預告書生效時間 一、簽署證券風險預告書：
1.簽署下列風險預告書生效時間：
   14:50前完成簽署，次一交易日生效；14:50後完成簽署，次二交易日生效。
【現股當沖】有價證券當日沖銷交易風險預告書暨概括權同意書
【代為沖銷】辦理應付當日沖銷券差有價證券借貸契約書
【集保e存摺】客戶開設有價證券保管劃撥帳戶契約書
【投資日本來臺上市上櫃注意事項】
【同IP】親自委託下單聲明書

2.簽署其他風險預告書生效時間：
06:00前完成簽署，當日07:15生效
10:50前完成簽署，當日11:15生效
14:50前完成簽署，當日15:15生效
14:50後完成簽署，次一交易日生效

二、簽署期貨風險預告書生效時間：
1.有簽署條件限制者，需另經由人工書面審查後生效。
2.無簽署條件限制者，簽署後於次二交易日生效。",,,
